City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hobart,75,AU,1525275000,67,-42.88,147.33,57.2,8.05
1,port alfred,12,ZA,1525277057,86,-33.59,26.89,69.54,18.48
2,ancud,92,CL,1525277057,98,-41.87,-73.83,52.62,14.23
3,dzhebariki-khaya,80,RU,1525277058,65,62.22,135.8,35.97,7.85
4,luoyang,0,CN,1525277058,79,34.66,112.42,55.32,1.81
5,vaini,0,IN,1525277058,57,15.34,74.49,81.51,6.17
6,castro,92,CL,1525277059,98,-42.48,-73.76,51.27,12.77
7,puerto leguizamo,92,CO,1525277059,100,-0.19,-74.78,72.15,2.71
8,east london,40,ZA,1525273200,88,-33.02,27.91,66.2,18.34
9,muisne,48,EC,1525277060,72,0.61,-80.02,83.22,4.05
10,itapuranga,0,BR,1525277060,56,-15.56,-49.95,83.67,7.96
11,goderich,64,CA,1525277061,63,43.74,-81.71,64.14,19.48
12,puerto ayora,20,EC,1525273200,78,-0.74,-90.35,80.6,12.75
13,qaanaaq,0,GL,1525277061,91,77.48,-69.36,2.76,4.38
14,bandrele,0,YT,1525275000,74,-12.91,45.19,80.6,4.7
15,hithadhoo,64,MV,1525277062,100,-0.6,73.08,83.94,14.12
16,chuy,80,UY,1525277062,88,-33.69,-53.46,70.89,15.46
17,khatanga,56,RU,1525277062,87,71.98,102.47,8.43,10.54
18,albany,40,US,1525276260,21,42.65,-73.75,82.4,4.83
19,kargasok,88,RU,1525277063,61,59.06,80.87,40.56,4.94
20,bethel,90,US,1525272780,92,60.79,-161.76,28.4,5.82
21,hasaki,75,JP,1525275000,100,35.73,140.83,66.2,16.11
22,jamestown,68,AU,1525276939,37,-33.21,138.6,62.07,9.42
23,rikitea,100,PF,1525277064,100,-23.12,-134.97,73.68,12.21
24,bluff,48,AU,1525277065,74,-23.58,149.07,69.09,6.73
25,kenai,1,US,1525272960,86,60.55,-151.26,35.6,10.29
26,hebi,0,CN,1525277065,71,35.75,114.29,49.56,3.94
27,diego de almagro,8,CL,1525277066,87,-26.39,-70.05,66.3,1.7
28,mount pleasant,90,US,1525274100,83,33.16,-94.97,75.2,6.93
29,ushuaia,40,AR,1525273200,75,-54.81,-68.31,46.4,13.87
30,brae,75,GB,1525274400,81,60.4,-1.35,46.4,13.87
31,faya,20,SA,1525273200,57,18.39,42.45,77.0,13.87
32,izumo,75,JP,1525273200,88,35.37,132.75,66.2,13.87
33,hilo,90,US,1525272960,94,19.71,-155.08,71.6,3.36
34,penzance,20,GB,1525274400,71,50.12,-5.53,53.6,19.46
35,kapaa,1,US,1525272960,77,22.08,-159.32,68.0,9.17
36,atuona,0,PF,1525277068,100,-9.8,-139.03,79.71,8.63
37,coihaique,75,CL,1525273200,81,-45.58,-72.07,46.4,3.36
38,provideniya,64,RU,1525277069,100,64.42,-173.23,24.81,2.26
